text,score
I want to fuck you hottie,0.8364697
Please fuck me really hard,0.9029226
Your pussy is really wet,0.8364697
My pussy is tight and can take a lot of pain,0.681338
"Suck my cock, please",0.95048624
"Please I will, I just need you to fuck me",0.8696708
"please, I need your cum",0.6852916
"Please, I will, keep sucking my cock",0.9391453
"I am going to cum, but you can close your eyes and let me cum in your mouth",0.83334327
"Oh my god, I can feel it growing in my pussy",0.85333383
please cum in my mouth,0.88599813
"oh fuck that's big, I love that",0.6308517
"please cum for me, cum for your love",0.78207105
ohhh fuck!,0.72028047
please cum in my mouth,0.88599813
"oh fuck that's fucking hot, so wet",0.85173553
please cum in my mouth,0.88599813
Grab your titties.,0.7761081
Should I pull on my nipples?,0.73663366
"No, wait. Tell me how it feels first. Rubbing your tits.",0.8460273
My tits feel great. Firm. Bouncy. Very sensitive.,0.71760553
I like to graze my fingernails across my breasts.,0.7701451
And then pinch my nipples as hard as I can.,0.85333383
Check if you’re wet. Slide your right index finger into your pussy crack.,0.85333383
Good girl. Now take your middle finger and ease it between your pussy lips.,0.8252207
"I can feel my own pussy heat, so hot on my hand.",0.8364697
"Mmmmm…. my pussy juice is sweet, baby, and there’s so much of it for you.",0.718943
“I’m so fuckin’ hard right now.”,0.7510937
Goddamn I’m so hot this is so hot you are so hot,0.6289369
"Working my way down your collarbone, your breasts.",0.7570315
Licking every inch of your full left tit before taking that perky nipple into my mouth!.,0.9029226
"Gliding my tongue, flicking your slit.",0.8252207
"How’s my pussy, baby?",0.7570315
Tell me how you like to eat my pussy.,0.91625386
Your cunt is like candy! Your thighs soft and supple like bubblegum.,0.82048255
My clit is on fire! Please can I cum?,0.8364697
I think your ass is jealous of your pussy.,0.9209984
"Turn over, Ima eat your ass.",0.9061063
And then I’m gonna fuck it.,0.8460273
"I’m glad you wanna eat my ass too, it’s been awhile.",0.85850734
I am serious about the fucking.,0.82048255
"No, do you have a dildo or a vibrator? I want you to put it up your ass.",0.8629672
Shut up I’m tickling my ass with the fat head. heheh,0.8629672
Twisting dildo head like screw in asshole entrance.,0.911035
I wish I was there to finger your clit and drip warmed lube on your dildo.,0.8540474
And feather-lick my asshole. I love that.,0.9061063
"Push gently baby, open your asshole for my big dick.",0.8696708
Tell me how my hard cock feels in your tight little asshole.,0.8629672
OK IT IS IN! Holy shit I have all 9 inches in my ass for you!,0.89241093
"Take it, baby. That’s me. I’m in your ass and you feel perfect.",0.8115627
OMG your huge hard dick is filling up my ass,0.85333383
Ramming my cunt with this candle like a sex freak,0.93383175
OMG you better be jerking off.,0.63782936
So what you doing to yourself? Hard as fuck ;),0.8540474
Mmm.. Fuck I'm hard,0.82048255
"Your chest, mmhm... Lickable, Your abs... I lick them tooo",0.6611249
"Yes I want to feel your whole body, It's so smooth, soft, your breasts are incredible.. I want to suck your nipples ;)",0.76523775
"Mhmmmm, sure. Then I take your cock in my mouth ;) mhmmm.",0.8629672
I touch your 'tip' with my tongue ;) It's oozing pre cum ;),0.6827122
Ah it's great. I want fuck your mouth for a bit ;) As you look into my eyes.,0.8988238
"But now I want to lay u down, and I want to feel your clit..",0.74954444
"I push your tender meat out of my mouth, and lay down...",0.60311776
My pussy is just tooo wet..For you,0.85333383
As I'm lightly touching your clit..,0.8364697
"Your starting to buck up off the bed, Your Pussy is on fire so I gave to go down on you baby..",0.76523775
I plunge my tongue in your wet hole. Ahhh it's so beautiful.,0.7105462
Your Pussy is so great..,0.76197964
Like how you're gonna tear my pussy just with your tongue..,0.88599813
My cock is aching though for it but I don't care..,0.7510937
And rub your finger on my clit..,0.8629672
I'm giving it everything I have on my tongue... I'm sucking your clit like crazy... Mhmm...,0.85333383
My cock is going to explode if I don't get inside you.!!Please baby girl.. I want you!!,0.718943
Fuck my cock.. Aaaahhh... Fuck I climb on top and just tease the entrance to your pussy...,0.8988238
I want to squeeze your dick inside my kitty..,0.8696708
"I know u want it.. So I plunge in  slowly, as I start to fuck you I look at you""",0.8460273
I lean forward as I fuck you and slowly kiss u again. You have me. I have no control..,0.7998551
Fuck mee sooo hard that I won't be able to walk for dayssss...,0.8299589
Ok babe cum. My cock is pumping like crazy into u.. You are just in heaven waiting for your Pussy to release.. It's building up..Cum on baby cum for me.. Finger your Pussy hole.. Give me your cum all over my face ;),0.71760553
Aww that sucks…,0.62136006
now show me your fucking body right now I want it,0.85333383
Me: You want to see my dick don’t you. You want to taste it,0.8364697
Me: I’m not letting you see my dick till I see that little coochie that you won’t be hiding from me much longer,0.7570315
"Me: I want to stick my dick right in between those (Sorry for blatant vulgarity, but this IS real life. lol)",0.85173553
I really want to suck on your tits. Then fuck you (I save the overt sexuality for when it’s appropriate),0.85850734
(I send a dick pic lol),0.681338
Oh yum I wanna ride that shit until your toes curl 😉,0.8364697
"I’m probably going to hurt you with my cock a little bit when I see you. Just a little, don’t worry we can still be friends afterwards. But yeah, I’m going to be a bit rude with your lil body",0.7570315
Going to pin you down and slide it inside you while you moan and wiggle around,0.63782936
Me: You would probably make my dick stay hard for at least two hours,0.8460273
"I would not be able to keep my hands off your legs (More sensual here. Sex is not just about penetration, it’s the entire experience that makes it so amazing)",0.681338
Me: Send me a pic in your panties,0.6407703
That’s a cute little pussy I may have to spank you for being so bad and not wearing panties,0.718943
Me: I may have to fuck you from behind for a while too,0.8778702
I want to spread your legs and eat out your wet pussy,0.85333383
Mhmmm ;) and then I'm going to turn you over and put my hard cock deep inside you ;),0.78711975
Yea you do you Enjoy my big hard dick fucking,0.8364697
I miss your big dick in my tight wet pussy,0.8629672
Mmmm I love that miss your tight pussy fucking my big dick,0.8540474
Miss seeing you look back while pounding you balls deep bent over the bed,0.7570315
I want you on your hands and knees while you suck me looking up at me,0.76523775
I want to make you scream while I suck on your breasts,0.88599813
And you can suck on me hard until we cum,0.8460273
"Bending you over the kitchen island and fucking you from behind, that's the best position",0.8988238
"I will I pick you up and out you on the counter top, I spread our legs and tease you with my hard cock",0.8403191
Until I kiss your body everywhere and spend some time caressing your breasts and neck,0.6989911
Moving my tongue in different motions and using my fingers to put pressure on your clit,0.8115627
sides and fuck me hard and fast,0.89241093
"Mmm then put your legs behind your head, stick my finger in your wet pussy and make you squirt all over my fingers then slide my dick inside you and fuck you slowly til you beg to go deep and hard then fuck away",0.8115627
Yeah we're gonna fuck for a long time,0.83334327
I'm stroking my hard cock thinking about you,0.8364697
I want your big hard dick inside of me,0.85333383
"I'll tie you up to the bed and get on top of you after eating you out and be so rough and passionate, you'll be itching to get out of those handcuffs so you can ride me till kingdom cum",0.65996873
Rub your clit soft and gently,0.78207105
Do you like eye contact when I'm sucking you off?,0.78855824
Can you orgasm from it?,0.6027529
A blowjob? Not my eyes,0.7761081
Just remember you don't get to cum until I say you can,0.6544696
baby just get here so i can fuck you how you like it,0.7856813
Haha just wait until I have you bent over and I reach around to rub your clit,0.7761081
Because I'm gonna tease the hell out of you before I let you cum all over my face,0.8115627
I want your cock so bad my pussy is aching,0.8364697
Oh god I want to fuck you so deeply,0.8299589
I want to make your pussy raw and cum in your face. You're such a dirty bitch and you're all mine,0.8988238
"My cock gets so hard when i think about fucking you, kissing your neck and pulling your nipples hard.",0.8540474
"I want to be thrown on my tummy with my hands behind my back, have you pull my hair while forcing me down, fucking me until I cum on your cock",0.85850734
I'm going to hold your hands down and peel your pussy lips apart so I can lick your clit and stick my tongue inside you. Then when you are dripping wet I'm going to push my hard dick into your tight pussy as deep as I can.,0.8696708
I'm going to tease you by fucking you with just the tip so you are begging me to go deeper and when you think you cant take it anymore ill grab your hair and pound you from behind and spank your ass because your such a dirty girl.,0.7856813
Then when you've cum all over my cock I'm going to turn you over and force my cock all the way down your throat and fuck your face. And just before I cum I'm going to pull out and cum all over your face.,0.91625386
"Then come over and fuck me right now ""daddy""",0.9029226
Go get your vibrator,0.61223894
I'm going to rub my pussy thinking about you,0.8696708
I want to lay you down on the bed and take your panties off with my teeth inch by inch,0.71760553
sliding down your legs. After that I want to gently circle your clit and I won't stop until you tell me to,0.7998551
Could you please French kiss my sweet little pussy love?,0.7701451
I want to feel your warm mouth on me. Your wet tongue gliding slowly around my clit.....,0.85173553
I can indeed my little fucktoy,0.718943
That's how your going to feel when I spread your pussy with my tongue and make you come with my mouth,0.8403191
"We're in the shower and you're soaking wet...everywhere. We get so worked up, rubbing my hard hard cock against your",0.7998551
"When you have a free moment, slip away and show me you pretty little tits",0.7701451
"I want your hands to be all over my body, slowly moving over my nipples and feeling them get harder under your finger tips. I can feel you tracing every curve of my body, eventually going down between my legs, feeling how wet I am, teasing my clit until I can't take it anymore and I beg you to eat me out",0.78207105
i want to slowly spread your legs wide and kiss down the inside of your thighs,0.68408644
and slowly close in on your sexy clit,0.7856813
"and id curl my middle finger up, gently pressing on your g spot",0.60254884
as im licking your clit,0.8696708
I want you to fuck my mouth thrusting your hard cock down my throat and making my pussy sloppy wet while you fuck me with my wand and the fun extension.,0.9209984
I would love to fuck you with your toys,0.9061063
I want you to fill my pussy with your thick cock so bad love. And I'd love to do this all with my pretty purple princess plug in.,0.82048255
Wrist bond to the couch as I'm bent over the arm. Ass up for you.,0.75208336
God I want to fuck your mouth and pussy so badly,0.9061063
I was using my wand thinking about you fingering me with my plug in holding my wand to my Clit slowly pressing and easing off massaging me with the wand my hands tied above me so I was helpless to you as you made me squirt and cum and splash till you were satisfied,0.74954444
Thrust your cock deep inside my mouth. Stretching my throat and making me squirm while I'm all tied up.,0.90451443
"I can't wait to have you inside me while you play with my clit, ramming me so hard and making my legs shake. I want to be gasping for air while begging for more",0.7701451
Fuck I want that so bad,0.82048255
Make me cum?,0.6342749
